text,label
hi,greetings
hii,greetings
hie,greetings
hey there,greetings
hey,greetings
heya,greetings
hy,greetings
hello,greetings
hi wassup,greetings
hii wassup,greetings
hello wassup,greetings
hola wassup,greetings
hey wassup,greetings
hie wassup,greetings
hi wassup,greetings
hi wassup,greetings
hii whatsup,greetings
hello whatsup,greetings
hola whatsup,greetings
hey whatsup,greetings
hie whatsup,greetings
hi whatsup,greetings
"hello, how are you?",greetings
hi how are you?,greetings
hey how are you?,greetings
hie how are you?,greetings
hii how are you?,greetings
hy how are you?,greetings
yoo how are you?,greetings
hey how you're doing,greetings
hy how you're doing,greetings
hi how you're doing,greetings
hii how you're doing,greetings
hello how you're doing,greetings
hola how you're doing,greetings
hie how you're doing,greetings
you there?,greetings
yoo,greetings
good morning,greetings
good afternoon,greetings
good evening,greetings
hey good morning,greetings
hey good afternoon,greetings
hey good evening,greetings
hi good morning,greetings
hi good afternoon,greetings
hi good evening,greetings
gm,greetings
ga,greetings
ge,greetings
hi gm,greetings
hi ga,greetings
hi ge,greetings
hey gm,greetings
hey ga,greetings
hey ge,greetings
morning,greetings
afternoon,greetings
evening,greetings
whatsup,greetings
wassup,greetings
ssup,greetings
howdy,greetings
ping,greetings
ping you there,greetings
ping you there?,greetings
hola,greetings
oye,greetings
oye darwin,greetings
hi darwin,greetings
hii darwin,greetings
hey darwin,greetings
hy darwin,greetings
hie darwin,greetings
ssup darwin,greetings
whatsup darwin,greetings
wassup darwin,greetings
help,help
help!,help
help!!!,help
please help,help
plz help,help
hey help me,help
please help me,help
can you help me,help
can you help,help
help,help
i need you,help
i need your help,help
i need help,help
can you please help,help
would you help me,help
would you please help me,help
i think i need your assistance,help
i think i need your help,help
what can you do?,help
what can you do for me,help
what all things can you do?,help
need help,help
hey help,help
how do i use you,help
what are your features,help
tell me your features,help
how can i use you,help
hey help me,help
how can you help me,help
would you please help me,help
would you please help,help
features,help
help me,help
how do i use your features,help
i need a user manual,help
how do i use your help,help
need to know what can you do,help
need to know how you can help me,help
need to know your features,help
i need some help,help
could you tell me about your features,help
could you tell me how to use you,help
could you tell please me how to use you,help
tell me your features darwin,help
how do i use you darwin,help
help me darwin,help
need your help darwin,help
darwin help me,help
darwin what are your features?,help
what are your features darwin?,help
what are your features?,help
how do i use your features darwin?,help
how do i use your features darwin,help
goodnight,end_conversation
good night,end_conversation
goodnite,end_conversation
good nite,end_conversation
night night,end_conversation
gn,end_conversation
gnite,end_conversation
bye,end_conversation
byee,end_conversation
byee byee,end_conversation
i'll take your leave,end_conversation
bubyee,end_conversation
i'll talk to you later,end_conversation
i'll see you later,end_conversation
bie,end_conversation
bie darwin,end_conversation
bye bye,end_conversation
bye bye darwin,end_conversation
tata,end_conversation
sayonara,end_conversation
see ya,end_conversation
cya,end_conversation
good bye,end_conversation
good byee,end_conversation
goodbye,end_conversation
goodbyee,end_conversation
ttyl,end_conversation
hasta la vista,end_conversation
farewell,end_conversation
chao,end_conversation
i'll see ya later,end_conversation
i'll see you later,end_conversation
see ya later,end_conversation
see ya later darwin,end_conversation
see you later darwin,end_conversation
bye darwin,end_conversation
bye bye darwin,end_conversation
bubyee darwin,end_conversation
catch you later,end_conversation
catch ya later,end_conversation
i'll catch you later,end_conversation
i'll catch ya later,end_conversation
see you later,end_conversation
see you later byee,end_conversation
see you later bye,end_conversation
see you later bubyee,end_conversation
i'll leave,end_conversation
i'll leave now,end_conversation
need to go,end_conversation
need to go now,end_conversation
i need to go,end_conversation
catch ya later darwin,end_conversation
i need to go darwin,end_conversation
talk to you later darwin,end_conversation
i have a problem,symptom_checker
i need your help with my health,symptom_checker
i want to use symptom checker,symptom_checker
symptom checker,symptom_checker
i need symptom checker,symptom_checker
i think i have a health issue,symptom_checker
can you check my symptoms,symptom_checker
i need to get some issues checked,symptom_checker
i have some problem,symptom_checker
i think i have some problem,symptom_checker
i need to get my health fixed,symptom_checker
i need a quick checkup,symptom_checker
can you help me with a quick checkup,symptom_checker
i want to get a quick checkup,symptom_checker
do i have some deficiency,symptom_checker
i have some problem,symptom_checker
check me,symptom_checker
i think i have a problem,symptom_checker
problem,symptom_checker
i need help,symptom_checker
not well,symptom_checker
not feeling well,symptom_checker
do i need a doctor,symptom_checker
i need a doctor,symptom_checker
i think i need a doctor,symptom_checker
virtual doctor,symptom_checker
i need a quick checkup,symptom_checker
i think i have health problem,symptom_checker
can you help me with my pain,symptom_checker
i have pain,symptom_checker
unwell,symptom_checker
i m not feeling well,symptom_checker
i am not feeling well,symptom_checker
i m not feeling good,symptom_checker
i am not feeling good,symptom_checker
health problem,symptom_checker
suffering,symptom_checker
pain,symptom_checker
paining,symptom_checker
I want to update my details,update_details
I want to change my details,update_details
I want to change my personal details,update_details
I want to update my personal details,update_details
I want to update my profile,update_details
I want to update my height,update_details
I want to update my weight,update_details
I want to update my date of birth,update_details
I want to update my dob,update_details
I want to update my location,update_details
update,update_details
change,update_details
profile update,update_details
change details,update_details
change height,update_details
change weight,update_details
change date of birth,update_details
change dob,update_details
change location,update_details
update height,update_details
update weight,update_details
update date of birth,update_details
update dob,update_details
update location,update_details
settings,update_details
open settings,update_details
quick settings,update_details
update profile details,update_details
update settings,update_details
update my details,update_details
update details,update_details
where do i update my details,update_details
where do i update settings,update_details
I want to plan a workout,plan_workout
log my workout,plan_workout
record my exercise routine,plan_workout
record my workout routine,plan_workout
Can you help me plan my workout,plan_workout
I want to get fit,plan_workout
how do i plan my workout,plan_workout
plan a routine,plan_workout
plan a workout routine,plan_workout
plan a exercise routine,plan_workout
plan a routine for workout,plan_workout
plan a routine for exercising,plan_workout
routine plan,plan_workout
I want to develop a workout plan,plan_workout
help me in developing a workout plan,plan_workout
help me in developing a fitness routine,plan_workout
give me a plan to become fit,plan_workout
give me a plan to become healthy,plan_workout
give me a plan to become muscular,plan_workout
give me a plan to grow muscles,plan_workout
plan for getting muscle gain,plan_workout
plan for fat loss,plan_workout
plan for weight reduction,plan_workout
plan to develop a good physique,plan_workout
plan for developing a good physique,plan_workout
workout plan,plan_workout
schedule,plan_workout
schedule workout,plan_workout
schedule workout for me,plan_workout
prepare workout,plan_workout
plan,plan_workout
workout planning,plan_workout
planer,plan_workout
plan workout,plan_workout
plan routine,plan_workout
prepare schedule,plan_workout
workout plan,plan_workout
workut timetable,plan_workout
timetable,plan_workout
recommend,workout_recommendation
workout recommendation needed,workout_recommendation
exercise recommendation needed,workout_recommendation
how much should i exercise?,workout_recommendation
how much should i workout?,workout_recommendation
how often should i workout?,workout_recommendation
how often should i exercise?,workout_recommendation
recommend me some exercises,workout_recommendation
recommend me some workouts,workout_recommendation
how many times should i exercise,workout_recommendation
how much time should i exercise,workout_recommendation
how much time should i exercise for muscle growth,workout_recommendation
how much time should i exercise for fat loss,workout_recommendation
how much time should i do cardio,workout_recommendation
how much time should i weight training,workout_recommendation
how many times in a week should i do workout,workout_recommendation
how many times in a week should i do weight training,workout_recommendation
